"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2022","1.3377","1.3392","1.3496","1.3317","","-0.05%"
"11/13/2022","1.3384","1.3256","1.3411","1.3226","","0.98%"
"11/06/2022","1.3254","1.3543","1.3572","1.3235","","-1.66%"
"10/30/2022","1.3478","1.3615","1.3809","1.3469","","-0.90%"
"10/23/2022","1.3600","1.3649","1.3776","1.3494","","-0.28%"
"10/16/2022","1.3638","1.3877","1.3881","1.3628","","-1.74%"
"10/09/2022","1.3880","1.3735","1.3979","1.3702","","1.04%"
"10/02/2022","1.3737","1.3816","1.3828","1.3503","","-0.64%"
"09/25/2022","1.3826","1.3591","1.3840","1.3558","","1.74%"
"09/18/2022","1.3589","1.3269","1.3613","1.3226","","2.48%"
"09/11/2022","1.3260","1.3024","1.3309","1.2953","","1.80%"
"09/04/2022","1.3026","1.3128","1.3210","1.2981","","-0.81%"
"08/28/2022","1.3132","1.3030","1.3209","1.2971","","0.76%"
"08/21/2022","1.3033","1.2997","1.3065","1.2895","","0.31%"
"08/14/2022","1.2993","1.2770","1.3010","1.2769","","1.72%"
"08/07/2022","1.2773","1.2932","1.2952","1.2727","","-1.21%"
"07/31/2022","1.2930","1.2815","1.2986","1.2766","","1.07%"
"07/24/2022","1.2793","1.2916","1.2947","1.2788","","-0.94%"
"07/17/2022","1.2914","1.3024","1.3030","1.2823","","-0.89%"
"07/10/2022","1.3030","1.2950","1.3225","1.2936","","0.63%"
"07/03/2022","1.2948","1.2888","1.3085","1.2837","","0.50%"
"06/26/2022","1.2883","1.2895","1.2968","1.2818","","-0.08%"
"06/19/2022","1.2893","1.3031","1.3040","1.2889","","-1.02%"
"06/12/2022","1.3026","1.2783","1.3080","1.2773","","1.92%"
"06/05/2022","1.2781","1.2591","1.2814","1.2516","","1.49%"
"05/29/2022","1.2593","1.2732","1.2736","1.2550","","-1.02%"
"05/22/2022","1.2723","1.2844","1.2886","1.2717","","-0.88%"
"05/15/2022","1.2836","1.2925","1.2983","1.2775","","-0.56%"
"05/08/2022","1.2908","1.2907","1.3078","1.2893","","0.02%"
"05/01/2022","1.2905","1.2840","1.2915","1.2711","","0.38%"
"04/24/2022","1.2856","1.2707","1.2881","1.2683","","1.15%"
"04/17/2022","1.2710","1.2613","1.2728","1.2457","","0.79%"
"04/10/2022","1.2611","1.2571","1.2678","1.2521","","0.34%"
"04/03/2022","1.2568","1.2520","1.2621","1.2402","","0.40%"
"03/27/2022","1.2518","1.2479","1.2594","1.2428","","0.36%"
"03/20/2022","1.2473","1.2604","1.2627","1.2464","","-1.02%"
"03/13/2022","1.2602","1.2744","1.2873","1.2588","","-1.11%"
"03/06/2022","1.2743","1.2732","1.2902","1.2685","","0.10%"
"02/27/2022","1.2730","1.2764","1.2811","1.2586","","0.20%"
"02/20/2022","1.2705","1.2751","1.2879","1.2681","","-0.35%"
"02/13/2022","1.2749","1.2744","1.2785","1.2664","","0.10%"
"02/06/2022","1.2736","1.2763","1.2763","1.2636","","-0.22%"
"01/30/2022","1.2764","1.2764","1.2789","1.2650","","0.02%"
"01/23/2022","1.2761","1.2583","1.2798","1.2553","","1.43%"
"01/16/2022","1.2581","1.2556","1.2589","1.2450","","0.22%"
"01/09/2022","1.2553","1.2649","1.2699","1.2451","","-0.72%"
"01/02/2022","1.2644","1.2634","1.2815","1.2629","","0.08%"
"12/26/2021","1.2634","1.2812","1.2849","1.2621","","-1.37%"
"12/19/2021","1.2810","1.2893","1.2965","1.2786","","-0.59%"
"12/12/2021","1.2886","1.2725","1.2938","1.2705","","1.31%"
"12/05/2021","1.2720","1.2828","1.2844","1.2607","","-0.95%"
"11/28/2021","1.2842","1.2793","1.2855","1.2711","","0.44%"
"11/21/2021","1.2786","1.2634","1.2801","1.2625","","1.17%"
"11/14/2021","1.2638","1.2550","1.2664","1.2490","","0.77%"
"11/07/2021","1.2542","1.2462","1.2606","1.2385","","0.71%"
"10/31/2021","1.2454","1.2394","1.2480","1.2350","","0.54%"
"10/24/2021","1.2387","1.2369","1.2433","1.2301","","0.16%"
"10/17/2021","1.2367","1.2371","1.2411","1.2288","","0.01%"
"10/10/2021","1.2366","1.2476","1.2500","1.2335","","-0.83%"
"10/03/2021","1.2469","1.2651","1.2656","1.2449","","-1.41%"
"09/26/2021","1.2647","1.2655","1.2775","1.2591","","-0.04%"
"09/19/2021","1.2652","1.2765","1.2896","1.2630","","-0.89%"
"09/12/2021","1.2766","1.2686","1.2773","1.2598","","0.61%"
"09/05/2021","1.2689","1.2526","1.2763","1.2515","","1.30%"
"08/29/2021","1.2526","1.2622","1.2655","1.2491","","-0.79%"
"08/22/2021","1.2626","1.2821","1.2842","1.2576","","-1.52%"
"08/15/2021","1.2821","1.2519","1.2950","1.2510","","2.46%"
"08/08/2021","1.2513","1.2552","1.2591","1.2486","","-0.31%"
"08/01/2021","1.2552","1.2479","1.2582","1.2450","","0.66%"
"07/25/2021","1.2470","1.2564","1.2606","1.2420","","-0.72%"
"07/18/2021","1.2561","1.2610","1.2809","1.2523","","-0.40%"
"07/11/2021","1.2611","1.2442","1.2622","1.2429","","1.33%"
"07/04/2021","1.2446","1.2320","1.2592","1.2300","","1.03%"
"06/27/2021","1.2319","1.2294","1.2451","1.2285","","0.20%"
"06/20/2021","1.2294","1.2465","1.2487","1.2250","","-1.35%"
"06/13/2021","1.2462","1.2149","1.2481","1.2126","","2.53%"
"06/06/2021","1.2155","1.2075","1.2178","1.2054","","0.63%"
"05/30/2021","1.2079","1.2070","1.2134","1.2004","","0.09%"
"05/23/2021","1.2068","1.2061","1.2142","1.2027","","0.02%"
"05/16/2021","1.2066","1.2098","1.2146","1.2011","","-0.30%"
"05/09/2021","1.2102","1.2157","1.2204","1.2044","","-0.23%"
"05/02/2021","1.2130","1.2289","1.2352","1.2123","","-1.29%"
"04/25/2021","1.2289","1.2482","1.2492","1.2264","","-1.49%"
"04/18/2021","1.2475","1.2494","1.2653","1.2457","","-0.23%"
"04/11/2021","1.2504","1.2534","1.2630","1.2474","","-0.18%"
"04/04/2021","1.2527","1.2576","1.2636","1.2499","","-0.37%"
"03/28/2021","1.2573","1.2574","1.2648","1.2525","","-0.02%"
"03/21/2021","1.2576","1.2502","1.2630","1.2471","","0.63%"
"03/14/2021","1.2497","1.2471","1.2549","1.2363","","0.21%"
"03/07/2021","1.2471","1.2662","1.2701","1.2459","","-1.45%"
"02/28/2021","1.2655","1.2723","1.2740","1.2573","","-0.66%"
"02/21/2021","1.2739","1.2623","1.2751","1.2466","","1.02%"
"02/14/2021","1.2610","1.2694","1.2746","1.2592","","-0.66%"
"02/07/2021","1.2694","1.2767","1.2784","1.2658","","-0.45%"
"01/31/2021","1.2751","1.2777","1.2871","1.2749","","-0.20%"
"01/24/2021","1.2777","1.2719","1.2882","1.2683","","0.33%"
"01/17/2021","1.2735","1.2734","1.2801","1.2588","","0.02%"
"01/10/2021","1.2732","1.2691","1.2837","1.2623","","0.39%"
"01/03/2021","1.2683","1.2725","1.2799","1.2628","","-0.35%"
"12/27/2020","1.2727","1.2867","1.2878","1.2712","","-1.10%"
"12/20/2020","1.2869","1.2782","1.2958","1.2781","","0.67%"
"12/13/2020","1.2783","1.2773","1.2800","1.2686","","0.09%"
"12/06/2020","1.2772","1.2780","1.2835","1.2704","","-0.06%"
"11/29/2020","1.2780","1.2990","1.3011","1.2770","","-1.62%"
"11/22/2020","1.2990","1.3091","1.3113","1.2970","","-0.81%"
"11/15/2020","1.3096","1.3138","1.3143","1.3032","","-0.27%"
"11/08/2020","1.3131","1.3062","1.3174","1.2926","","0.58%"
"11/01/2020","1.3055","1.3316","1.3371","1.3017","","-1.97%"
"10/25/2020","1.3317","1.3137","1.3391","1.3130","","1.49%"
"10/18/2020","1.3121","1.3193","1.3205","1.3079","","-0.50%"
"10/11/2020","1.3187","1.3130","1.3261","1.3097","","0.53%"
"10/04/2020","1.3118","1.3302","1.3342","1.3107","","-1.42%"
"09/27/2020","1.3307","1.3386","1.3421","1.3266","","-0.58%"
"09/20/2020","1.3384","1.3192","1.3420","1.3171","","1.36%"
"09/13/2020","1.3204","1.3187","1.3248","1.3125","","0.23%"
"09/06/2020","1.3174","1.3054","1.3261","1.3050","","0.87%"
"08/30/2020","1.3061","1.3102","1.3163","1.2992","","-0.27%"
"08/23/2020","1.3097","1.3185","1.3240","1.3045","","-0.59%"
"08/16/2020","1.3175","1.3257","1.3264","1.3133","","-0.69%"
"08/09/2020","1.3266","1.3378","1.3396","1.3190","","-0.87%"
"08/02/2020","1.3383","1.3401","1.3452","1.3231","","-0.22%"
"07/26/2020","1.3413","1.3429","1.3461","1.3329","","0.00%"
"07/19/2020","1.3413","1.3578","1.3601","1.3349","","-1.20%"
"07/12/2020","1.3576","1.3593","1.3648","1.3500","","-0.11%"
"07/05/2020","1.3591","1.3550","1.3633","1.3489","","0.34%"
"06/28/2020","1.3545","1.3674","1.3706","1.3543","","-1.04%"
"06/21/2020","1.3688","1.3600","1.3716","1.3484","","0.62%"
"06/14/2020","1.3603","1.3593","1.3687","1.3502","","0.15%"
"06/07/2020","1.3583","1.3426","1.3668","1.3313","","1.18%"
"05/31/2020","1.3424","1.3782","1.3802","1.3389","","-2.51%"
